State,Year,Quarter,District,Code,Transactions,Amount (INR),ATV (INR),Registered Users,App Opens
Andhra Pradesh,2018,2,Srikakulam,AP09,559868,929392017.4,1660.019893,186913,0
Andhra Pradesh,2018,2,Visakhapatnam,AP10,1641192,2987853607,1820.538735,636052,0
Andhra Pradesh,2018,2,Vizianagaram,AP11,529588,811711367.5,1532.722357,167327,0
Andhra Pradesh,2018,2,West Godavari,AP12,786033,1688025212,2147.524611,282393,0
Andhra Pradesh,2018,2,Ysr,AP13,690842,1415500368,2048.949496,248657,0
Andhra Pradesh,2018,3,Anantapur,AP01,1815215,2681787750,1477.394,405855,0
Andhra Pradesh,2018,3,Chittoor,AP02,2297429,3283517631,1429.213974,515727,0
Andhra Pradesh,2018,3,East Godavari,AP03,3226907,3551247095,1100.511138,558982,0
Andhra Pradesh,2018,3,Guntur,AP04,1912529,3127764663,1635.407705,518931,0
Andhra Pradesh,2018,3,Krishna,AP05,2396934,3754202654,1566.251993,537086,0
Andhra Pradesh,2018,3,Kurnool,AP06,2921189,2908389262,995.6183121,394311,0
Andhra Pradesh,2018,3,Prakasam,AP07,1319651,2346453445,1778.086362,314899,0
Andhra Pradesh,2018,3,Spsr Nellore,AP08,1308890,2215938596,1692.990699,322446,0
Andhra Pradesh,2018,3,Srikakulam,AP09,1073883,1318322237,1227.621851,228456,0
Andhra Pradesh,2018,3,Visakhapatnam,AP10,3394576,4821892253,1420.469671,769096,0
Andhra Pradesh,2018,3,Vizianagaram,AP11,970132,1163546007,1199.368753,203655,0
Andhra Pradesh,2018,3,West Godavari,AP12,1431282,2309078493,1613.293881,349782,0
Andhra Pradesh,2018,3,Ysr,AP13,1557444,2235904512,1435.624339,308391,0
Andhra Pradesh,2018,4,Anantapur,AP01,2286391,3975878156,1738.931861,510892,0
Andhra Pradesh,2018,4,Chittoor,AP02,3166201,4979093890,1572.576691,665280,0
Andhra Pradesh,2018,4,East Godavari,AP03,3052762,4652624623,1524.070538,694455,0
Andhra Pradesh,2018,4,Guntur,AP04,2546620,4730251218,1857.462526,659552,0
Andhra Pradesh,2018,4,Krishna,AP05,2839161,5416251838,1907.694505,682479,0
Andhra Pradesh,2018,4,Kurnool,AP06,2508530,3626544852,1445.685263,498582,0
Andhra Pradesh,2018,4,Prakasam,AP07,1692862,3255254226,1922.929469,394962,0
Andhra Pradesh,2018,4,Spsr Nellore,AP08,1814997,3293448557,1814.575207,407495,0
Andhra Pradesh,2018,4,Srikakulam,AP09,1252807,1870278610,1492.870498,284874,0
Andhra Pradesh,2018,4,Visakhapatnam,AP10,4791421,7366635865,1537.463701,978288,0
Andhra Pradesh,2018,4,Vizianagaram,AP11,1386787,1817673253,1310.708315,257824,0
Andhra Pradesh,2018,4,West Godavari,AP12,1688482,3237504255,1917.405252,435668,0
Andhra Pradesh,2018,4,Ysr,AP13,1732527,3252340063,1877.223306,387058,0
Andhra Pradesh,2019,1,Anantapur,AP01,3891336,6044730653,1553.381834,612162,0
Andhra Pradesh,2019,1,Chittoor,AP02,6486813,8223371732,1267.705996,812314,0
Andhra Pradesh,2019,1,East Godavari,AP03,5440146,7382264725,1356.997537,839277,0
Andhra Pradesh,2019,1,Guntur,AP04,4846553,7765934169,1602.362374,802394,0
Andhra Pradesh,2019,1,Krishna,AP05,5443981,9061346433,1664.470621,833694,0
Andhra Pradesh,2019,1,Kurnool,AP06,4193432,5541564893,1321.486766,599422,0
Andhra Pradesh,2019,1,Prakasam,AP07,2931081,4807527779,1640.189329,474260,0
Andhra Pradesh,2019,1,Spsr Nellore,AP08,3333584,5161932216,1548.46322,491908,0
Andhra Pradesh,2019,1,Srikakulam,AP09,2526855,3407912878,1348.677656,345775,0
Andhra Pradesh,2019,1,Visakhapatnam,AP10,9690866,13459857441,1388.922047,1174517,0
Andhra Pradesh,2019,1,Vizianagaram,AP11,2798241,3364576948,1202.389983,313334,0
Andhra Pradesh,2019,1,West Godavari,AP12,2829437,4623764455,1634.164131,523372,0
Andhra Pradesh,2019,1,Ysr,AP13,2852197,4915811594,1723.517553,460590,0
Andhra Pradesh,2019,2,Anantapur,AP01,3578836,7830782361,2188.080807,695114,6056591
Andhra Pradesh,2019,2,Chittoor,AP02,5983308,10982727976,1835.561194,925491,8914216
Andhra Pradesh,2019,2,East Godavari,AP03,4699261,9116404622,1939.965587,945181,7156762
Andhra Pradesh,2019,2,Guntur,AP04,5005275,10405246943,2078.856195,915256,7268875
Andhra Pradesh,2019,2,Krishna,AP05,6428472,13437029116,2090.236858,952300,7822632
Andhra Pradesh,2019,2,Kurnool,AP06,3895824,7358285187,1888.76222,680118,6240480
Andhra Pradesh,2019,2,Prakasam,AP07,2670529,6262396448,2345.002226,539462,4488365
Andhra Pradesh,2019,2,Spsr Nellore,AP08,3141891,6880873007,2190.041923,558303,4774473
Andhra Pradesh,2019,2,Srikakulam,AP09,2019203,4066576540,2013.951316,392764,3230330
Andhra Pradesh,2019,2,Visakhapatnam,AP10,11705738,20797479804,1776.691039,1318740,13681907
Andhra Pradesh,2019,2,Vizianagaram,AP11,2272320,4443041665,1955.28872,355058,3541678
Andhra Pradesh,2019,2,West Godavari,AP12,2402074,5676818259,2363.298657,592185,3853094
Andhra Pradesh,2019,2,Ysr,AP13,2606284,6376856828,2446.723699,519031,4345848
Andhra Pradesh,2019,3,Anantapur,AP01,4889720,9554081289,1953.911735,773656,22845084
Andhra Pradesh,2019,3,Chittoor,AP02,8201783,13837455759,1687.127757,1032733,34638738
Andhra Pradesh,2019,3,East Godavari,AP03,6537303,11387726471,1741.960939,1057167,28275322
Andhra Pradesh,2019,3,Guntur,AP04,6942304,13075661264,1883.475754,1026418,28477132
Andhra Pradesh,2019,3,Krishna,AP05,8408474,16404073561,1950.897816,1066546,30077671
Andhra Pradesh,2019,3,Kurnool,AP06,5139134,9025632779,1756.255583,755024,22827473
Andhra Pradesh,2019,3,Prakasam,AP07,3430750,7354502261,2143.701016,598568,16267041
Andhra Pradesh,2019,3,Spsr Nellore,AP08,4150195,8256600119,1989.448717,619592,17768733
Andhra Pradesh,2019,3,Srikakulam,AP09,2556296,4610131290,1803.44189,437939,11813195
Andhra Pradesh,2019,3,Visakhapatnam,AP10,16694947,26944837120,1613.951642,1460464,54836001
Andhra Pradesh,2019,3,Vizianagaram,AP11,2861581,4922069039,1720.05232,394375,13065845
Andhra Pradesh,2019,3,West Godavari,AP12,3179541,6627629029,2084.460942,662102,14227407
Andhra Pradesh,2019,3,Ysr,AP13,3296586,7447544274,2259.168811,574109,15833900
Andhra Pradesh,2019,4,Anantapur,AP01,6764112,13887248889,2053.077904,873033,30278539
Andhra Pradesh,2019,4,Chittoor,AP02,11246986,19298476028,1715.879795,1156351,44888591
Andhra Pradesh,2019,4,East Godavari,AP03,9285739,16816774065,1811.032387,1195228,38299189
Andhra Pradesh,2019,4,Guntur,AP04,9761330,18565626418,1901.956641,1158708,37846179
Andhra Pradesh,2019,4,Krishna,AP05,11719402,23039786404,1965.952393,1199971,39407473
